	alpha	l1_ratio
KDM6A	0.1	0.1
KDR	0.1	0.5
KEAP1	1.0	0.1
KIT	0.1	0.5
KLF5	0.01	1.0
KMT2A	0.1	0.5
KMT2B	1.0	0.1
KMT2C	1.0	0.1
KMT2D	0.1	0.3
KRAS	0.1	0.1
LPP	0.1	0.5
LRP1B	0.1	0.5
MACF1	1.0	0.05
MAP2K1	1.0	0.1
MAP2K4	0.1	0.7
MAP3K1	1.0	0.1
MAP3K13	1.0	0.1
MDM2	1.0	0.1
MDM4	1.0	0.1
MECOM	0.1	0.3
MED12	0.1	0.3
MET	1.0	0.1
MGA	0.001	1.0
MITF	0.1	0.7
MSI2	1.0	0.05
MTOR	0.01	0.7
MYC	1.0	0.05
MYCL	1.0	0.5
MYH9	0.1	0.9
NCOA2	1.0	0.05
NCOR1	0.001	0.9
NCOR2	1.0	0.1
NF1	0.1	0.7
NF2	0.0001	0.0
NFATC2	0.1	0.3
NFE2L2	1.0	0.1
NIPBL	1.0	0.1
NKX2-1	1.0	0.1
NOTCH1	1.0	0.05
NOTCH2	0.0001	1.0
NRAS	0.1	0.1
NRG1	1.0	0.05
NSD1	0.1	0.1
NTRK1	1.0	0.05
NTRK3	0.0001	0.7
NUTM1	0.0001	0.7
PBRM1	0.1	0.1
PBX1	1.0	0.05
PDGFRA	0.1	0.1
PIK3CA	0.1	0.1
PIK3CB	1.0	0.1
PIK3CG	1.0	0.1
PIK3R1	10.0	0.0
PLXNB2	0.01	1.0
POLE	0.1	0.9
POLQ	1.0	0.1
PPM1D	1.0	0.1
PPP2R1A	1.0	0.1
PRDM1	0.1	0.5
PREX2	1.0	0.05
PSIP1	0.1	0.5
PTEN	0.1	0.3
PTPN13	0.1	0.3
PTPRB	0.1	0.7
PTPRC	1.0	0.05
PTPRK	0.1	1.0
PTPRT	0.1	0.5
RAC1	1.0	0.1
RAD21	0.1	0.3
RAF1	1.0	0.1
RANBP2	0.1	0.05
RARA	10.0	0.05
RASA1	0.1	0.1
RB1	1.0	0.05
RBM10	0.1	0.5
RNF43	1.0	0.1
ROS1	0.1	0.5
RPL22	1.0	0.3
RUNX1T1	1.0	0.1
SALL4	1.0	0.1
SCAF4	0.1	0.5
SETBP1	0.001	0.0
SETD2	0.1	0.1
SMAD4	0.1	0.7
SMARCA4	10.0	0.0
SOS1	1.0	0.3
SOX17	0.1	0.9
SOX2	1.0	0.1
SOX9	0.1	0.9
SPEN	0.001	0.0
SPOP	0.1	0.3
STAG2	0.1	0.5
STIL	1.0	0.1
STK11	1.0	0.1
TCF7L2	0.0001	0.3
TERT	0.1	0.5
TET1	1.0	0.1
TP53	0.1	0.05
TP63	1.0	0.1
TRRAP	1.0	0.1
TSC1	1.0	0.05
UBR5	1.0	0.05
UNCX	1.0	0.1
USP6	0.1	0.7
USP9X	0.0001	0.7
VHL	0.001	0.7
WWTR1	1.0	0.1
ZBTB16	1.0	0.1
ZFHX3	0.1	0.3
ZNF521	0.1	0.7
