	alpha	l1_ratio
FGFR3	0.001	0.5
FGFR4	0.0001	0.0
FHIT	1.0	0.0
FLT4	0.01	1.0
FOXA1	0.0001	0.7
FOXL2	0.001	1.0
FOXO1	0.0001	0.0
FOXO3	0.0001	0.1
FUBP1	0.001	0.7
GATA2	10.0	0.0
GATA3	0.0001	0.0
GNAS	0.001	1.0
GRIN2A	1.0	0.1
GTF2I	0.01	0.05
H3F3A	0.01	1.0
HEY1	0.001	0.7
HIST1H3B	0.001	0.3
HLF	0.0001	0.9
HMGA2	0.01	0.05
IDH1	0.01	1.0
IDH2	0.001	0.5
IKBKB	0.0001	0.05
IKZF3	0.0001	0.7
IL7R	0.1	0.1
INPPL1	0.001	0.3
IRS4	1.0	0.0
JAK1	0.1	0.5
JAK3	0.0001	0.05
KANSL1	1.0	0.1
KAT6A	0.1	0.3
KDM5A	1.0	0.05
KDM6A	0.001	0.7
KDR	0.001	0.5
KEAP1	0.0001	0.5
KIT	0.001	0.05
KLF5	1.0	0.05
KMT2A	0.1	0.5
KMT2B	0.1	0.7
KMT2C	0.01	0.0
KMT2D	0.01	0.3
KRAS	0.001	1.0
LPP	0.001	0.9
LRP1B	0.1	0.1
MACF1	0.001	0.05
MAP2K1	0.1	0.5
MAP2K4	0.001	0.9
MAP3K1	0.0001	0.5
MAP3K13	0.001	0.9
MDM2	0.1	0.3
MDM4	0.0001	0.5
MECOM	0.001	0.9
MED12	0.0001	0.5
MET	0.001	0.0
MGA	0.001	0.1
MITF	0.0001	0.9
MSI2	0.01	0.3
MTOR	1.0	0.05
MYC	0.001	0.05
MYCL	0.0001	0.5
MYH9	10.0	0.0
NCOA2	0.0001	0.5
NCOR1	0.001	0.5
NCOR2	0.001	0.05
NF1	1.0	0.1
NF2	1.0	0.1
NFATC2	0.001	0.0
NFE2L2	0.0001	0.05
NIPBL	0.0001	0.1
NKX2-1	0.0001	0.7
NOTCH1	0.0001	0.5
NOTCH2	0.01	0.3
NRAS	10.0	0.0
NRG1	0.0001	0.9
NSD1	0.0001	1.0
NTRK1	0.0001	0.1
NTRK3	1.0	0.05
NUTM1	1.0	0.05
PBRM1	0.1	0.7
PBX1	1.0	0.05
PDGFRA	0.001	1.0
PIK3CA	0.01	0.1
PIK3CB	0.01	0.0
PIK3CG	0.001	1.0
PIK3R1	0.001	0.5
PLXNB2	10.0	0.0
POLE	0.1	0.5
POLQ	1.0	0.1
PPM1D	0.001	0.3
PPP2R1A	0.1	0.1
PRDM1	0.0001	0.0
PREX2	0.1	0.1
PSIP1	10.0	0.0
PTEN	0.01	0.5
PTPN13	0.1	0.7
PTPRB	1.0	0.1
PTPRC	10.0	0.0
PTPRK	0.0001	1.0
PTPRT	1.0	0.1
RAC1	0.001	0.3
RAD21	0.001	1.0
RAF1	10.0	0.0
RANBP2	0.1	0.3
RARA	10.0	0.0
RASA1	0.001	0.9
RB1	0.01	0.0
RBM10	0.001	0.7
RNF43	1.0	0.1
ROS1	1.0	0.05
RPL22	0.0001	0.1
RUNX1T1	0.1	0.0
SALL4	0.0001	1.0
SCAF4	0.1	0.3
SETBP1	0.1	0.9
SETD2	10.0	0.0
SMAD4	0.001	0.9
SMARCA4	0.1	0.7
SOS1	0.01	0.1
SOX17	0.001	0.5
SOX2	0.01	0.7
SOX9	0.001	0.1
SPEN	0.01	0.0
SPOP	0.0001	1.0
STAG2	0.001	1.0
STIL	0.0001	1.0
STK11	0.0001	0.05
TCF7L2	0.01	0.0
TERT	0.001	1.0
TET1	0.1	0.0
TP53	0.01	0.0
TP63	0.001	0.9
TRRAP	0.1	0.1
TSC1	0.001	0.9
UBR5	0.01	0.7
UNCX	0.01	1.0
USP6	0.1	0.7
USP9X	0.1	0.7
VHL	0.0001	1.0
WWTR1	0.1	0.0
ZBTB16	0.01	0.0
ZFHX3	0.1	0.1
ZNF521	0.1	0.1
