	alpha	l1_ratio
HMGA2	1.0	0.3
IDH1	0.1	0.1
IDH2	0.1	0.9
IKBKB	0.0001	1.0
IKZF3	1.0	0.1
IL7R	0.1	0.0
INPPL1	1.0	0.1
IRS4	0.1	0.7
JAK1	10.0	0.0
JAK3	0.1	0.1
KANSL1	0.1	0.5
KAT6A	0.0001	1.0
KDM5A	0.1	0.05
KDM6A	0.1	0.3
KDR	10.0	0.0
KEAP1	0.1	0.5
KIT	10.0	0.0
KLF5	0.1	1.0
KMT2A	1.0	0.1
KMT2B	0.1	0.5
KMT2C	0.1	0.5
KMT2D	0.1	0.7
KRAS	0.1	0.05
LPP	0.1	0.3
LRP1B	0.1	0.3
MACF1	0.01	0.5
MAP2K1	10.0	0.0
MAP2K4	0.1	0.3
MAP3K1	0.1	0.0
MAP3K13	0.1	0.05
MDM2	1.0	0.1
MDM4	0.1	0.5
MECOM	0.1	0.05
MED12	0.01	1.0
MET	0.01	0.9
MGA	0.0001	0.5
MITF	0.1	0.3
MSI2	0.1	0.5
MTOR	10.0	0.0
MYC	0.1	0.0
MYCL	1.0	0.1
MYH9	1.0	0.05
NCOA2	0.1	1.0
NCOR1	0.1	0.5
NCOR2	1.0	0.3
NF1	0.1	0.7
NF2	0.01	0.9
NFATC2	10.0	0.0
NFE2L2	0.001	0.0
NIPBL	0.1	0.5
NKX2-1	0.1	0.5
NOTCH1	0.1	0.7
NOTCH2	0.0001	0.5
NRAS	0.01	0.1
NRG1	10.0	0.0
NSD1	0.1	0.3
NTRK1	0.01	1.0
NTRK3	0.1	1.0
NUTM1	1.0	0.3
PBRM1	0.1	0.05
PBX1	1.0	0.05
PDGFRA	0.1	0.7
PIK3CA	1.0	0.0
PIK3CB	10.0	0.0
PIK3CG	0.1	0.7
PIK3R1	0.1	0.5
PLXNB2	0.001	0.7
POLE	0.0001	0.0
POLQ	0.1	0.7
PPM1D	1.0	0.1
PPP2R1A	1.0	0.05
PRDM1	0.1	0.1
PREX2	0.1	0.5
PSIP1	0.1	0.7
PTEN	0.1	0.0
PTPN13	0.1	0.7
PTPRB	0.1	0.9
PTPRC	0.001	0.9
PTPRK	1.0	0.1
PTPRT	0.1	0.7
RAC1	0.0001	0.0
RAD21	0.1	0.5
RAF1	0.1	1.0
RANBP2	0.001	0.05
RARA	1.0	0.1
RASA1	0.1	0.0
RB1	1.0	0.0
RBM10	0.1	0.5
RNF43	1.0	0.3
ROS1	0.1	0.7
RPL22	1.0	0.05
RUNX1T1	0.1	0.5
SALL4	1.0	0.1
SCAF4	0.1	0.7
SETBP1	1.0	0.1
SETD2	1.0	0.1
SMAD4	1.0	0.1
SMARCA4	0.01	0.7
SOS1	0.001	0.9
SOX17	0.1	0.1
SOX2	0.1	0.3
SOX9	0.1	0.5
SPEN	0.01	0.3
SPOP	1.0	0.05
STAG2	1.0	0.0
STIL	0.001	0.9
STK11	0.1	0.0
TCF7L2	1.0	0.05
TERT	0.1	0.5
TET1	1.0	0.05
TP53	0.1	0.1
TP63	0.1	0.1
TRRAP	0.1	0.5
TSC1	0.1	0.1
UBR5	1.0	0.05
UNCX	0.01	0.5
USP6	0.1	0.9
USP9X	0.0001	0.3
VHL	1.0	0.1
WWTR1	0.1	0.3
ZBTB16	0.1	0.5
ZFHX3	0.1	0.7
ZNF521	10.0	0.0
