gene	classification
HLA-B	TSG
HLF	Oncogene
HMGA1	Oncogene
HMGA2	Oncogene
HNF1A	TSG
HNRNPA2B1	Oncogene
HOXA11	Oncogene, TSG
HOXA13	Oncogene
HOXA9	Oncogene, TSG
HOXC11	Oncogene
HOXC13	Oncogene
HOXD11	Oncogene
HOXD13	Oncogene
HRAS	Oncogene
IDH1	Oncogene
IDH2	Oncogene
IKBKB	Oncogene
IKZF1	TSG
IKZF3	Oncogene, TSG
IL6ST	Oncogene
IL7R	Oncogene
INPPL1	TSG
IRF2	TSG
IRF4	Oncogene, TSG
IRF6	TSG
IRS4	Oncogene, TSG
JAK1	Oncogene, TSG
JAK2	Oncogene
JAK3	Oncogene
JUN	Oncogene
KANSL1	TSG
KAT6A	Oncogene
KAT6B	TSG
KCNJ5	Oncogene
KDM5A	Oncogene
KDM5C	TSG
KDM6A	TSG
KDR	Oncogene
KEAP1	TSG
KIT	Oncogene
KLF4	Oncogene
KLF5	Oncogene
KLF6	TSG
KMT2A	Oncogene
KMT2B	TSG
KMT2C	TSG
KMT2D	TSG
KNL1	TSG
KRAS	Oncogene
KRT222	TSG
LATS1	TSG
LATS2	TSG
LCK	Oncogene
LEF1	Oncogene, TSG
LMO1	Oncogene
LMO2	Oncogene
LPP	Oncogene
LRIG3	TSG
LRP1B	TSG
LYL1	Oncogene
LZTR1	TSG
MACF1	Oncogene
MAF	Oncogene
MAFB	Oncogene
MALT1	Oncogene
MAML2	Oncogene
MAP2K1	Oncogene
MAP2K2	Oncogene
MAP2K4	TSG
MAP3K1	TSG
MAP3K13	Oncogene, TSG
MAPK1	Oncogene
MAX	TSG
MDM2	Oncogene
MDM4	Oncogene
MECOM	Oncogene
MED12	TSG
MEN1	TSG
MET	Oncogene
MGA	TSG
MITF	Oncogene
MLF1	TSG
MLH1	TSG
MLLT10	Oncogene
MN1	Oncogene
MPL	Oncogene
MRTFA	Oncogene, TSG
MSH2	TSG
MSH3	Oncogene
MSH6	TSG
MSI2	Oncogene
MTCP1	Oncogene
MTOR	Oncogene
MYB	Oncogene
MYC	Oncogene
MYCL	Oncogene
MYCN	Oncogene
MYD88	Oncogene
MYH9	TSG
MYOD1	Oncogene
NAB2	TSG
NCOA2	Oncogene
NCOA4	TSG
NCOR1	TSG
NCOR2	TSG
NDRG1	TSG
NF1	TSG
NF2	TSG
NFATC2	Oncogene
NFE2L2	Oncogene
NFKB2	Oncogene, TSG
NFKBIE	TSG
NIPBL	TSG
NKX2-1	Oncogene, TSG
NOTCH1	TSG
NOTCH2	TSG
NPM1	Oncogene
NR4A3	Oncogene
NRAS	Oncogene
NRG1	TSG
NSD1	TSG
NSD2	Oncogene
NSD3	Oncogene
NT5C2	Oncogene
NTRK1	Oncogene, TSG
NTRK3	Oncogene
NUP98	Oncogene
NUTM1	Oncogene
OLIG2	Oncogene
P2RY8	Oncogene
PATZ1	TSG
PAX3	Oncogene
PAX5	TSG
PBRM1	TSG
PBX1	Oncogene
PCBP1	Oncogene
PDCD1LG2	Oncogene
PDGFB	Oncogene
PDGFRA	Oncogene
PDGFRB	Oncogene
PER1	TSG
PGR	TSG
PHF6	TSG
PHOX2B	TSG
PIK3CA	Oncogene
PIK3CB	Oncogene
PIK3CG	Oncogene
PIK3R1	TSG
PIK3R2	Oncogene
PIM1	Oncogene
PLAG1	Oncogene
PLCG1	Oncogene
PLXNB2	Oncogene
PML	TSG
PMS1	Oncogene
PMS2	TSG
POLD1	TSG
POLE	TSG
POLQ	Oncogene, TSG
POT1	TSG
POU2AF1	Oncogene
POU5F1	Oncogene
PPARG	TSG
PPM1D	Oncogene
PPP2R1A	TSG
PPP6C	TSG
PRDM1	TSG
PRDM16	Oncogene
PREX2	Oncogene
PRKACA	Oncogene
PRKAR1A	Oncogene, TSG
PSIP1	Oncogene
PTCH1	TSG
PTEN	TSG
PTK6	Oncogene, TSG
PTMA	TSG
PTPN11	Oncogene
PTPN13	TSG
PTPRB	TSG
PTPRC	TSG
PTPRK	TSG
PTPRT	TSG
QKI	Oncogene, TSG
RAC1	Oncogene
RAD21	Oncogene, TSG
RAD51B	TSG
RAF1	Oncogene
RANBP2	TSG
RAP1GDS1	Oncogene
RARA	Oncogene
RASA1	TSG
RB1	TSG
RBM10	TSG
REL	Oncogene
RET	Oncogene
RHOA	Oncogene
RHOH	TSG
RMI2	TSG
RNF111	TSG
RNF43	TSG
ROS1	Oncogene
RPL10	TSG
RPL22	TSG
RPL5	TSG
RQCD1	Oncogene
RSPO2	TSG
RSPO3	Oncogene
RUNX1	TSG
RUNX1T1	Oncogene, TSG
SALL4	Oncogene
SCAF4	TSG
SDHA	TSG
SET	Oncogene
SETBP1	Oncogene
SETD2	TSG
SF1	Oncogene
SF3B1	Oncogene
SFPQ	TSG
SFRP4	TSG
SH2B3	TSG
SH3GL1	Oncogene
SIN3A	TSG
SIX1	Oncogene
SLC34A2	TSG
SMAD2	TSG
SMAD3	TSG
SMAD4	TSG
SMARCA1	TSG
SMARCA4	TSG
SMARCB1	TSG
SMARCD1	TSG
SMO	Oncogene
SND1	Oncogene
SOCS1	TSG
SOS1	Oncogene
SOX17	Oncogene
SOX2	Oncogene
SOX9	TSG
SPEN	TSG
SPOP	TSG
SRC	Oncogene
SRSF2	Oncogene
SRSF3	Oncogene
SSX1	Oncogene
SSX2	Oncogene
SSX4	Oncogene
STAG2	TSG
STAT3	Oncogene
STAT5B	Oncogene, TSG
STAT6	Oncogene
STIL	Oncogene
STK11	TSG
SUFU	TSG
SUZ12	Oncogene, TSG
SYK	Oncogene
TAF15	Oncogene
TAL1	Oncogene
TAL2	Oncogene
TBL1XR1	TSG
TBX3	TSG
TCF12	TSG
TCF3	Oncogene, TSG
TCF7L2	Oncogene
TCL1A	Oncogene
TENT5C	TSG
TERT	Oncogene, TSG
TET1	Oncogene, TSG
TET2	TSG
TFE3	Oncogene
TFEB	Oncogene
TGFBR2	TSG
THRAP3	TSG
TLX1	Oncogene
TLX3	Oncogene
TNFAIP3	TSG
TNFRSF14	TSG
TNFRSF17	Oncogene
TP53	TSG
TP63	Oncogene, TSG
TPM3	TSG
TRAF3	TSG
TRAF7	TSG
TRIM24	Oncogene, TSG
TRIM27	Oncogene
TRIM33	TSG
TRRAP	Oncogene
TSC1	TSG
TSC2	TSG
TSHR	Oncogene
U2AF1	Oncogene
UBR5	Oncogene
UNCX	Oncogene
USP6	Oncogene
USP8	Oncogene
USP9X	TSG
VHL	TSG
WIF1	TSG
WT1	Oncogene, TSG
WWTR1	Oncogene
XPO1	Oncogene
YWHAE	TSG
ZBTB16	TSG
ZFHX3	TSG
ZFP36L2	TSG
ZNF331	TSG
ZNF521	Oncogene
ZNF750	TSG
ZRSR2	TSG
