Gene Symbol	Role in Cancer
KEAP1	TSG
KIT	oncogene
KLF4	oncogene, TSG
KLF6	TSG
KMT2A	oncogene
KMT2C	TSG
KMT2D	TSG
KNL1	TSG
KRAS	oncogene
LATS1	TSG
LATS2	TSG
LCK	oncogene
LEF1	oncogene, TSG
LMO1	oncogene
LMO2	oncogene
LPP	oncogene
LRIG3	TSG
LRP1B	TSG
LYL1	oncogene
LZTR1	TSG
MAF	oncogene
MAFB	oncogene
MALT1	oncogene
MAML2	oncogene
MAP2K1	oncogene
MAP2K2	oncogene
MAP2K4	TSG
MAP3K1	TSG
MAP3K13	oncogene, TSG
MAPK1	oncogene
MAX	TSG
MDM2	oncogene
MDM4	oncogene
MECOM	oncogene
MED12	TSG
MEN1	TSG
MET	oncogene
MITF	oncogene
MLF1	TSG
MLH1	TSG
MLLT10	oncogene
MN1	oncogene
MPL	oncogene
MRTFA	oncogene, TSG
MSH2	TSG
MSH6	TSG
MSI2	oncogene
MTCP1	oncogene
MTOR	oncogene
MYB	oncogene
MYC	oncogene
MYCL	oncogene
MYCN	oncogene
MYD88	oncogene
MYH9	TSG
MYOD1	oncogene
NAB2	TSG
NCOA2	oncogene
NCOA4	TSG
NCOR1	TSG
NCOR2	TSG
NDRG1	TSG
NF1	TSG
NF2	TSG
NFATC2	oncogene
NFE2L2	oncogene
NFKB2	oncogene, TSG
NFKBIE	TSG
NKX2-1	oncogene, TSG
NOTCH1	TSG
NOTCH2	oncogene, TSG
NPM1	oncogene
NR4A3	oncogene
NRAS	oncogene
NRG1	TSG
NSD2	oncogene
NSD3	oncogene
NT5C2	oncogene
NTRK1	oncogene, TSG
NTRK3	oncogene
NUP98	oncogene
NUTM1	oncogene
OLIG2	oncogene
P2RY8	oncogene
PATZ1	TSG
PAX3	oncogene
PAX5	oncogene, TSG
PBRM1	TSG
PBX1	oncogene
PDCD1LG2	oncogene
PDGFB	oncogene
PDGFRA	oncogene
PDGFRB	oncogene
PER1	TSG
PHF6	TSG
PHOX2B	TSG
PIK3CA	oncogene
PIK3CB	oncogene
PIK3R1	TSG
PIM1	oncogene
PLAG1	oncogene
PLCG1	oncogene
PML	TSG
POLD1	TSG
POLE	TSG
POLQ	oncogene, TSG
POT1	TSG
POU2AF1	oncogene
POU5F1	oncogene
PPARG	TSG
PPM1D	oncogene
PPP2R1A	TSG
PPP6C	TSG
PRDM1	TSG
PRDM16	oncogene
PREX2	oncogene
PRKACA	oncogene
PRKAR1A	oncogene, TSG
PSIP1	oncogene
PTCH1	TSG
PTEN	TSG
PTK6	oncogene, TSG
PTPN11	oncogene
PTPN13	TSG
PTPRB	TSG
PTPRC	TSG
PTPRK	TSG
PTPRT	TSG
QKI	oncogene, TSG
RAC1	oncogene
RAD21	oncogene, TSG
RAD51B	TSG
RAF1	oncogene
RANBP2	TSG
RAP1GDS1	oncogene
RARA	oncogene
RB1	TSG
RBM10	TSG
REL	oncogene
RET	oncogene
RHOA	oncogene
RHOH	TSG
RMI2	TSG
RNF43	TSG
ROS1	oncogene
RPL10	TSG
RPL22	TSG
RPL5	TSG
RSPO2	TSG
RSPO3	oncogene
RUNX1	TSG
RUNX1T1	oncogene, TSG
SALL4	oncogene
SDHA	TSG
SET	oncogene
SETBP1	oncogene
SETD2	TSG
SF3B1	oncogene
SFPQ	TSG
SFRP4	TSG
SH2B3	TSG
SH3GL1	oncogene
SIX1	oncogene
SLC34A2	TSG
SMAD2	TSG
SMAD3	TSG
SMAD4	TSG
SMARCA4	TSG
SMARCB1	TSG
SMARCD1	TSG
SMO	oncogene
SND1	oncogene
SOCS1	TSG
SOX2	oncogene
SPEN	TSG
SPOP	TSG
SRC	oncogene
SRSF2	oncogene
SRSF3	oncogene
SSX1	oncogene
SSX2	oncogene
SSX4	oncogene
STAG2	TSG
STAT3	oncogene
STAT5B	oncogene, TSG
STAT6	oncogene
STIL	oncogene
STK11	TSG
SUFU	TSG
SUZ12	oncogene, TSG
SYK	oncogene
TAF15	oncogene
TAL1	oncogene
TAL2	oncogene
TBL1XR1	TSG
TBX3	TSG
TCF3	oncogene, TSG
TCF7L2	oncogene
TCL1A	oncogene
TENT5C	TSG
TERT	oncogene, TSG
TET1	oncogene, TSG
TET2	TSG
TFE3	oncogene
TFEB	oncogene
TGFBR2	TSG
TLX1	oncogene
TLX3	oncogene
TNFAIP3	TSG
TNFRSF14	TSG
TNFRSF17	oncogene
TP53	TSG
TP63	oncogene, TSG
TPM3	TSG
TRAF7	TSG
TRIM24	oncogene, TSG
TRIM27	oncogene
TRIM33	TSG
TRRAP	oncogene
TSC1	TSG
TSC2	TSG
TSHR	oncogene
U2AF1	oncogene
UBR5	oncogene
USP6	oncogene
USP8	oncogene
VHL	TSG
WIF1	TSG
WT1	oncogene
WWTR1	oncogene
XPO1	oncogene
YWHAE	TSG
ZBTB16	TSG
ZFHX3	TSG
ZNF331	TSG
ZNF521	oncogene
ZRSR2	TSG
